date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:50	71906/71906	---M--	200	added ('OK')	image/jpeg	etag:%22106e1c4-118e2-52c8693a72d80%22	http://www.cdf.toronto.edu/~ajr/209/lect/08slides/08slides.040.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/08slides/08slides.040.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/08slides/)
19:58:00	65153/65153	---M--	200	added ('OK')	image/jpeg	etag:%22106e1fa-fe81-52ebb96201400%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.001.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.001.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:01	68671/68671	---M--	200	added ('OK')	image/jpeg	etag:%22106e1fb-10c3f-52e9698052780%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.002.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.002.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:03	78983/78983	---M--	200	added ('OK')	image/jpeg	etag:%22106e1fc-13487-52e9698052780%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.003.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.003.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:10	41625/41625	---M--	200	added ('OK')	image/jpeg	etag:%22106e1ff-a299-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.006.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.006.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:11	59405/59405	---M--	200	added ('OK')	image/jpeg	etag:%22106e1fe-e80d-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.005.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.005.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:12	77666/77666	---M--	200	added ('OK')	image/jpeg	etag:%22106e1fd-12f62-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.004.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.004.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:14	23426/23426	---M--	200	added ('OK')	image/jpeg	etag:%22106e200-5b82-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.007.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.007.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:15	26437/26437	---M--	200	added ('OK')	image/jpeg	etag:%22106e201-6745-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.008.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.008.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:16	26473/26473	---M--	200	added ('OK')	image/jpeg	etag:%22106e202-6769-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.009.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.009.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:18	27363/27363	---M--	200	added ('OK')	image/jpeg	etag:%22106e203-6ae3-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.010.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.010.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:23	225044/225044	---M--	200	added ('OK')	application/pdf	etag:%2253670068-36f14-3ac12fb8024c0%22	https://www.ece.cmu.edu/~ganger/712.fall02/papers/p761-thompson.pdf	/home/tamfire/websites/209/www.ece.cmu.edu/_ganger/712.fall02/papers/p761-thompson.pdf	(from http://www.cdf.toronto.edu/~ajr/209/lect/12.html)
19:58:24	37594/37594	---M--	200	added ('OK')	image/jpeg	etag:%22106e206-92da-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.015.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.015.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:26	63598/63598	---M--	200	added ('OK')	image/jpeg	etag:%22106e205-f86e-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.014.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.014.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:28	78979/78979	---M--	200	added ('OK')	image/jpeg	etag:%22106e204-13483-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.011.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.011.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:28	26473/26473	---M--	200	added ('OK')	image/jpeg	etag:%22106e208-6769-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.017.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.017.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:30	40583/40583	---M--	200	added ('OK')	image/jpeg	etag:%22106e207-9e87-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.016.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.016.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
19:58:31	29375/29375	---M--	200	added ('OK')	image/jpeg	etag:%22106e209-72bf-52e96981469c0%22	http://www.cdf.toronto.edu/~ajr/209/lect/13slides/13concurrency.018.jpg	/home/tamfire/websites/209/www.cdf.toronto.edu/_ajr/209/lect/13slides/13concurrency.018.jpg	(from http://www.cdf.toronto.edu/~ajr/209/lect/13slides/)
